sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id,cf_id
2,7,1,1,1,1,3645.0,1440.0,0.0,8715.0,7371.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,2,30.0,10000.0,original,15,0
2,7,1,5,1,1,3645.0,1440.0,0.0,8715.0,7371.0,64079.0,0.0,0.0,0.0,0.0,0.0,10000.0,2,30.0,10000.0,counterfactual,15,1
2,7,1,5,1,1,3645.0,1440.0,0.0,8715.0,59807.1,64079.0,0.0,0.0,0.0,0.0,0.0,10000.0,2,30.0,10000.0,counterfactual,15,2
2,7,1,1,4,1,3645.0,1440.0,1011.5,8715.0,7371.0,45751.9,0.0,0.0,0.0,0.0,0.0,10000.0,2,30.0,10000.0,counterfactual,15,3
2,7,5,2,2,1,3769.0,750.0,0.0,8980.0,8596.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,5,23.0,10000.0,original,20,0
2,7,4,2,2,1,3769.0,750.0,0.0,8980.0,8596.0,71475.2,10000.0,0.0,0.0,0.0,0.0,0.0,5,23.0,10000.0,counterfactual,20,1
2,7,5,2,2,1,3769.0,750.0,0.0,8980.0,8596.0,71475.2,10000.0,0.0,0.0,0.0,0.0,0.0,5,23.0,10000.0,counterfactual,20,2
2,7,5,2,2,1,3769.0,750.0,0.0,8980.0,8596.0,49741.7,10000.0,0.0,0.0,0.0,0.0,0.0,5,23.0,10000.0,counterfactual,20,3
1,7,5,3,5,1,3769.0,1440.0,0.0,44388.0,35532.0,121802.0,0.0,440.0,0.0,0.0,0.0,120000.0,1,23.0,122242.0,original,21,0
1,7,5,3,5,1,3769.0,11968.2,0.0,44388.0,35532.0,121802.0,0.0,440.0,0.0,0.0,0.0,120000.0,1,19.5,122242.0,counterfactual,21,1
1,7,5,3,5,1,3769.0,9981.7,0.0,44388.0,35532.0,121802.0,0.0,3290.3,0.0,0.0,0.0,120000.0,1,23.0,122242.0,counterfactual,21,2
1,7,5,3,5,1,3769.0,5135.3,0.0,39846.9,35532.0,121802.0,0.0,440.0,0.0,0.0,0.0,120000.0,1,23.0,122242.0,counterfactual,21,3
2,7,5,2,2,1,3769.0,1200.0,0.0,17597.0,15173.0,15700.0,0.0,0.0,0.0,0.0,0.0,12000.0,1,27.0,15700.0,original,25,0
2,7,5,2,2,1,3769.0,4681.5,0.0,17597.0,15173.0,15700.0,0.0,0.0,0.0,0.0,0.0,12000.0,1,27.0,15700.0,counterfactual,25,1
2,7,5,2,2,1,3769.0,4811.8,0.0,17597.0,15173.0,15700.0,0.0,0.0,0.0,0.0,0.0,12000.0,2,27.0,15700.0,counterfactual,25,2
2,7,5,2,2,1,3769.0,1200.0,0.0,17597.0,15173.0,15700.0,0.0,0.0,0.0,0.0,0.0,12000.0,4,27.0,15700.0,counterfactual,25,3
1,5,5,2,9,1,3769.0,240.0,0.0,3760.0,3700.0,600.0,0.0,4380.0,0.0,0.0,0.0,0.0,1,34.0,4980.0,original,41,0
1,5,5,2,9,1,3769.0,240.0,0.0,3760.0,3700.0,600.0,0.0,4820.7,38692.7,0.0,0.0,0.0,1,34.0,4980.0,counterfactual,41,1
1,5,5,5,9,1,3769.0,240.0,0.0,3760.0,3700.0,600.0,0.0,4380.0,0.0,805.5,0.0,0.0,1,34.0,4980.0,counterfactual,41,2
1,5,5,2,9,1,3769.0,240.0,0.0,3760.0,3700.0,600.0,21376.9,4380.0,31946.4,0.0,0.0,0.0,1,34.0,4980.0,counterfactual,41,3
1,7,5,2,1,1,4000.0,1440.0,0.0,13180.0,11680.0,0.0,0.0,1750.0,1000.0,0.0,0.0,0.0,1,37.0,2750.0,original,51,0
1,7,5,2,1,1,13151.2,1440.0,0.0,13180.0,11680.0,0.0,0.0,1750.0,1000.0,0.0,8205.8,0.0,1,37.0,2750.0,counterfactual,51,1
1,7,5,2,1,1,13506.6,1440.0,0.0,13180.0,11680.0,0.0,10605.7,1750.0,1000.0,0.0,0.0,0.0,1,37.0,2750.0,counterfactual,51,2
1,7,5,2,1,1,4000.0,1440.0,0.0,13180.0,11680.0,67749.3,0.0,1750.0,1000.0,0.0,0.0,0.0,1,37.6,2750.0,counterfactual,51,3
